Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
DEL MONTE-FORT ORD #1,Air Products Tap,Air Products Tap,136390,System Maintenence,Air Products Tap,10157C,115,000/001,000/006,Fresno,FR,S,6/27/2016,6/27/2016,6/27/2016,,,,6/27/2016 0:00:00,,,,,RS,T,2016,0,0.349999994,0,1,0,5.289999962,115Kv,0,115,0,0
Moss Landing-Salinas #2,Almenda Jct-Nicolaus,ALMENDA JCT-NICOLAUS,132103,Orchard Maintenance,ALMENDA JCT-NICOLAUS,60001,60,000/001,024/484,Sacramento,SA,,10/22/2016,11/26/2016,10/22/2016,,,,11/26/2016 0:00:00,,,,,OM,T,2016,0,0,0,10,0,,Orchards,0,60,0,0
Green Valley-Watsonville,Amfor 60kv Tap,Amfor 60kv Tap,134753,Local Maintenance,Amfor 60kv Tap,60224A,60,012/012,00A/020,Stockton,ST,S,12/23/2015,12/23/2015,12/11/2015,12/10/2015,12/11/2015,12/11/2015,12/11/2015 0:00:00,12/11/2015 0:00:00,,,,RT,T,2016,0,1.25,0,0,0,1.25,,0,60,0,0
Green Valley-Watsonville,Antelope Tap,Antelope 70kv Tap,132134,Orchard Maintenance,Antelope 70kv Tap,70002B,70,000/001,004/058,Kern,KE,L,1/23/2016,3/5/2016,12/29/2015,12/29/2015,12/29/2015,1/2/2016,1/2/2016 0:00:00,1/2/2016 0:00:00,,,,OM,T,2016,1.100000024,0,0,0,0,0,Orchards,0,70,0,0
CR MW-KE-RioB-Renfro,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,Fruitvale 70kv Tap,70048A,70,000/001,FRT/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
ELK-GUALALA,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,KERN-MAGUNDEN,70048,70,006/048,012/168,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
Kelley Tap,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,Eisen 70kv Tap,70048C,70,009/107,EIS/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
Laytonville-Willits,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,KERN-MAGUNDEN,70048,70,KPR/SUB,MAG/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
Mendocino-Hartley 60kv-(Inland),CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,Kern-Fruitvale,70046,70,KPR/SUB,FRT/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
CR-Aerial Patrol,CR Taft-Cuyama,Antelope 70kv Tap,137188,Local Maintenance,Taft-Cuyama #1,70080,70,TFT/SUB,CUY/SUB,Kern,KE,,7/1/2016,8/12/2016,7/1/2016,,,,8/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,5,0,37.90000153,70kv,0,70,0,0
